2026-04-10 15:15:45,083 - optuna.storages._in_memory - INFO - A new study created in memory with name: xgb_tuning
2026-04-10 15:15:56,921 - optuna.study.study - INFO - Trial 17 finished with value: 0.9353433636540291 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 1.0, 'lambda': 1.0, 'alpha': 0.5, 'learning_rate': 0.08984210644914543, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 8 with value: 0.9568314052827871.
2026-04-10 15:15:57,567 - optuna.study.study - INFO - Trial 18 finished with value: 0.9440242451632832 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.5, 'lambda': 1.0, 'alpha': 0.7000000000000001, 'learning_rate': 0.07795316316254396, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 8 with value: 0.9568314052827871.
2026-04-10 15:15:58,461 - optuna.study.study - INFO - Trial 19 finished with value: 0.9595628754384501 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.5, 'learning_rate': 0.10020218935398031, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 19 with value: 0.9595628754384501.
2026-04-10 15:15:58,968 - optuna.study.study - INFO - Trial 20 finished with value: 0.9354419704440218 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 1.0, 'lambda': 0.5, 'alpha': 0.8, 'learning_rate': 0.15047527552685333, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 19 with value: 0.9595628754384501.
2026-04-10 15:15:59,894 - optuna.study.study - INFO - Trial 21 finished with value: 0.9596095280478332 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.5, 'learning_rate': 0.10633808350986826, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:00,839 - optuna.study.study - INFO - Trial 22 finished with value: 0.9578999986465287 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.5, 'learning_rate': 0.11074590847357242, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:01,418 - optuna.study.study - INFO - Trial 23 finished with value: 0.9481755754388901 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.5, 'learning_rate': 0.10971890694451289, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:02,317 - optuna.study.study - INFO - Trial 24 finished with value: 0.9571301556311018 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.10711103816717348, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:02,962 - optuna.study.study - INFO - Trial 25 finished with value: 0.9444995556606598 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.5, 'learning_rate': 0.0842261915494378, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:04,001 - optuna.study.study - INFO - Trial 26 finished with value: 0.9594058475494522 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.4, 'learning_rate': 0.10068039310920247, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:04,548 - optuna.study.study - INFO - Trial 27 finished with value: 0.9272777942850912 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 1.5, 'lambda': 0.5, 'alpha': 0.4, 'learning_rate': 0.09700455237128155, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:05,275 - optuna.study.study - INFO - Trial 28 finished with value: 0.9453406876014728 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.5, 'lambda': 1.0, 'alpha': 0.7000000000000001, 'learning_rate': 0.08211015340923966, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:05,797 - optuna.study.study - INFO - Trial 29 finished with value: 0.9330316618475163 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.5, 'lambda': 0.5, 'alpha': 0.30000000000000004, 'learning_rate': 0.1405970740392921, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:06,736 - optuna.study.study - INFO - Trial 30 finished with value: 0.9581349302341866 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.7000000000000001, 'learning_rate': 0.11835311573505401, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:07,685 - optuna.study.study - INFO - Trial 31 finished with value: 0.9594148757667469 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.7000000000000001, 'learning_rate': 0.11656601972090523, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:08,670 - optuna.study.study - INFO - Trial 32 finished with value: 0.9595329569475586 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.10046449954990887, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 21 with value: 0.9596095280478332.
2026-04-10 15:16:09,683 - optuna.study.study - INFO - Trial 33 finished with value: 0.9606165817382536 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.8, 'learning_rate': 0.09044758074785839, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:10,772 - optuna.study.study - INFO - Trial 34 finished with value: 0.956539443777323 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 1.0, 'alpha': 0.9, 'learning_rate': 0.06808214382743145, 'subsample': 0.7, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:11,680 - optuna.study.study - INFO - Trial 35 finished with value: 0.9581593680854376 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.8, 'learning_rate': 0.09319176819941816, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:12,347 - optuna.study.study - INFO - Trial 36 finished with value: 0.947857117939941 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.5, 'lambda': 1.0, 'alpha': 0.6000000000000001, 'learning_rate': 0.08709798309698105, 'subsample': 1.0, 'colsample_bytree': 0.7999999999999999}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:13,256 - optuna.study.study - INFO - Trial 37 finished with value: 0.9543934941003067 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.07617942989672506, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:14,398 - optuna.study.study - INFO - Trial 38 finished with value: 0.9582191353033714 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 1.0, 'learning_rate': 0.05018527139302182, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:15,457 - optuna.study.study - INFO - Trial 39 finished with value: 0.9568938644541675 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 1.0, 'alpha': 0.6000000000000001, 'learning_rate': 0.10246658993667762, 'subsample': 1.0, 'colsample_bytree': 0.7999999999999999}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:16,078 - optuna.study.study - INFO - Trial 40 finished with value: 0.941246398723185 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.9, 'learning_rate': 0.13089613978967027, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:17,061 - optuna.study.study - INFO - Trial 41 finished with value: 0.9594148757667469 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.7000000000000001, 'learning_rate': 0.11323284183757834, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 33 with value: 0.9606165817382536.
2026-04-10 15:16:18,094 - optuna.study.study - INFO - Trial 42 finished with value: 0.960618743741002 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.7000000000000001, 'learning_rate': 0.10487928465181205, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 42 with value: 0.960618743741002.
2026-04-10 15:16:19,225 - optuna.study.study - INFO - Trial 43 finished with value: 0.9593243020341322 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.8, 'learning_rate': 0.10376292803146359, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 42 with value: 0.960618743741002.
2026-04-10 15:16:20,404 - optuna.study.study - INFO - Trial 44 finished with value: 0.96071152837613 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.09659529798664028, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 44 with value: 0.96071152837613.
2026-04-10 15:16:21,698 - optuna.study.study - INFO - Trial 45 finished with value: 0.9592489933125148 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.0, 'lambda': 1.0, 'alpha': 0.5, 'learning_rate': 0.09529362797164223, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 44 with value: 0.96071152837613.
2026-04-10 15:16:22,309 - optuna.study.study - INFO - Trial 46 finished with value: 0.9151658411755076 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 2.0, 'lambda': 1.5, 'alpha': 0.9, 'learning_rate': 0.06439680457431636, 'subsample': 1.0, 'colsample_bytree': 0.7999999999999999}. Best is trial 44 with value: 0.96071152837613.
2026-04-10 15:16:23,119 - optuna.study.study - INFO - Trial 47 finished with value: 0.9513942971964422 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.6000000000000001, 'learning_rate': 0.08056427074781701, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}. Best is trial 44 with value: 0.96071152837613.
2026-04-10 15:16:24,088 - optuna.study.study - INFO - Trial 48 finished with value: 0.9558100408233114 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.0, 'lambda': 0.5, 'alpha': 0.8, 'learning_rate': 0.08936127491334941, 'subsample': 0.8999999999999999, 'colsample_bytree': 1.0}. Best is trial 44 with value: 0.96071152837613.
2026-04-10 15:16:24,854 - optuna.study.study - INFO - Trial 49 finished with value: 0.9511351608113262 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.5, 'lambda': 0.5, 'alpha': 0.30000000000000004, 'learning_rate': 0.072535458251258, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7}. Best is trial 44 with value: 0.96071152837613.
